"HarmVirtueext","HarmViceext","FairnessVirtueext","FairnessViceext","IngroupVirtueext","IngroupViceext","AuthorityVirtueext","AuthorityViceext","PurityVirtueext","PurityViceext"
16,35,101,367,14,108,108,64,12,452
114,109,10,154,17,19,16,38,19,28
27,12,17,30,45,14,70,18,37,37
94,136,284,619,59,15,130,568,43,122
1969,3377,2394,1417,936,3017,3196,4059,763,3191
301,45,18,30,94,30,53,16,10,9
141,64,12,18,30,10,49,34,19,4
11,12,13,535,16,5,107,14,13,58
10,12,39,21,88,55,49,67,37,52
33,350,103,87,333,148,371,377,161,29
3,14,286,78,385,29,127,33,40,20
3,1,95,20,59,1,210,37,2,10
62,245,267,224,43,9,130,60,6,11
18,25,16,29,16,23,14,66,15,7
9,13,10,94,28,35,53,136,7,105
194,49,245,53,136,13,102,11,22,10
152,164,52,280,29,15,172,24,48,215
6,13,23,28,6,28,54,101,14,14
1024,364,709,656,294,18,871,142,12,40
81,39,20,13,66,6,71,2,232,6
112,491,21,14,57,34,28,76,50,29
249,265,11,11,63,31,62,191,65,87
1,4,146,63,52,72,69,195,41,40
7,2,0,1,0,1,2,3,1,1
154,69,302,102,182,176,54,204,25,57
3,2,0,2,14,74,27,49,6,19
608,208,18,9,514,1504,97,789,15,7
95,28,62,195,203,185,92,138,37,21
217,49,1,1,6,11,0,19,1,5
126,74,92,41,672,33,517,353,22,6
5,16,31,14,25,41,34,186,82,162
2727,1748,2703,433,2380,397,2017,550,632,121
7,50,5,119,10,91,54,56,13,151
1872,219,51,57,360,21,366,90,44,27
228,156,314,846,67,5,79,63,11,5
