"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"5.35479649729769","0.689784979967913","2.0236441369173","11.2034489248998","0.59800485789318","2.62380009142161","5.21425818537075","1.10261627125328","1.69578116177143","1.79634492834159","0.91116867286302","0.845201710121806","2.7225712774825","1.6066899104606","1.72374541771607","0.862231224959891","2.80628478726551","1.26197667852757","25.4028376549462","3.13809143953178","1.36863521882927","2.25596257091897","5.98363373995035","0.860976418603401","1.08684156277169","1.88489840549964","1.78756128384616","1.11928726998951","1.17360245942046","2.38341504512821","1.12412723736455","0.97803192585887","1.09329485260507","1.4426687938622","1.87378440634215"
"법안nc","광우병nc","서민nc","정권교체nc","경기nc","정권교체nc","사업nc","반값등록금nc","박정희nc","정치검찰nc","국정감사nc","야권연대nc","단일화nc","비리nc","예정nc","정수장학회nc","일자리nc","임명nc","이명박nc","강화nc","선관위nc","북한nc","가pv","정문헌nc","특검nc","사장nc","경제nc","투표시간nc","민간인nc","경제민주화nc","지원nc","부산nc","노동자nc","일본nc","세종시nc"
"합의nc","미국nc","이명박nc","변화nc","서울nc","맞pv","조원nc","등록금nc","역사nc","박지원nc","국감nc","통진당nc","안철수nc","이명박nc","강조nc","재산nc","정규직nc","구성nc","보도nc","교육nc","국가정보원nc","평화nc","가지pv","정상회담nc","내곡동nc","김재철nc","교육문화체육nc","연장nc","불법사찰nc","재벌nc","인터넷nc","강원도nc","정규직nc","대법관nc","지방nc"
"박지원nc","한미nc","바꾸pv","승리nc","대구nc","서민nc","서민nc","대학생nc","쿠데타nc","대선자금nc","예정nc","공천nc","토론nc","론스타nc","방문nc","이사장nc","여성nc","맡pv","의혹nc","장애인nc","위반nc","남북관계nc","보pv","대화록nc","청와대nc","파업nc","선거인단nc","투표nc","청와대nc","중소기업nc","확대nc","강원nc","쌍용차nc","현병철nc","발전nc"
"처리nc","수입nc","민생nc","이루pv","투표소nc","민생nc","추진nc","대학nc","유신nc","검사nc","증인nc","한명숙nc","정치혁신nc","최시중nc","늘pv","부산일보nc","복지nc","활동nc","자신nc","확대nc","경찰nc","개성공단nc","중요한nc","공개nc","원전nc","언론nc","투표nc","참정권nc","사찰nc","대기업nc","일자리nc","제주nc","해결nc","김병화nc","지역nc"
"통과nc","쇠고기nc","살pv","가pv","광주nc","이명박nc","예산nc","학생nc","인혁당nc","이상득nc","문방위nc","경선nc","방안nc","돈봉투nc","여사nc","사회nc","청년nc","당선자nc","태도nc","방안nc","불법nc","이명박nc","우리나라nc","녹취록nc","이명박nc","노조nc","사회행정nc","이정현nc","권재진nc","경제nc","성장nc","관광nc","노동nc","이명박nc","경남nc"
"본회의nc","재협상nc","한명숙nc","희망nc","선거구nc","주시nc","대책nc","청년nc","사과nc","저축은행nc","원내대변인nc","승리nc","정권교체nc","박희태nc","의지nc","박정희nc","공약nc","교수nc","발언nc","제도nc","선거법nc","안보nc","사람nc","노무현nc","호기nc","방송nc","접수nc","공보단장nc","은폐nc","서민nc","산업nc","금강산nc","노조nc","국무총리nc","국가균형발전nc"
"여야nc","이명박nc","심판nc","시대nc","지역nc","시민nc","늘pv","반값nc","선생nc","검찰총장nc","김재철nc","총선승리nc","기자실nc","의혹nc","부산nc","전두환nc","지원nc","본부장nc","알pv","폐지nc","직원nc","남북nc","마음nc","허위사실nc","사저nc","공영방송nc","모바일투표nc","투표율nc","이명박nc","일자리nc","육성nc","사업nc","사회적nc","협정nc","참여정부nc"
"국정조사nc","중단nc","시대nc","감사nc","인천nc","시대nc","지원nc","공약nc","발언nc","검찰개혁nc","진행nc","야권단일후보nc","제안nc","디도스nc","김정숙nc","환원nc","아이nc","인선nc","사과nc","학교nc","흑색선전nc","중국nc","이해찬nc","국가정보원nc","안전nc","낙하산nc","보건복지nc","논의nc","국정조사nc","대형마트nc","한국nc","부산시민nc","최저임금nc","체결nc","수도권nc"
"논의nc","미국산nc","투표nc","참여nc","경북nc","안철수nc","증가nc","실현nc","전두환nc","비리nc","정수장학회nc","입당nc","방식nc","촉구nc","참석nc","최필립nc","확대nc","간사nc","가pv","개정nc","의혹nc","대북정책nc","살pv","발언nc","사고nc","언론인nc","제호nc","제안nc","진실nc","재벌개혁nc","세계nc","발전nc","사회nc","중국nc","대구nc"
