"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"0.727340628151025","0.874033685625724","2.02995107741719","4.86686335287747","0.633678156626956","1.30709190723382","1.44108750046682","1.32322515591739","2.08163722597752","1.35982372931994","1.84143107891101","29.1230533666953","1.77600179258319","13.3980655039773","3.40650558314972","1.21910594913545","2.63644172237368","2.55577547895582","0.831758598797475","0.490869029390895","1.67755909922695","0.987115808342981","1.21178623445494","0.804720469059267","0.503118347835829","0.766478694401912","2.39026029801695","1.149792732569","0.913022369944355","1.32382268364641","1.29334876946633","1.60197184150577","8.4487433244949","0.785151435933824","2.2193673675169"
"선수nc","민주당nc","국회nc","말씀nc","정당nc","경남nc","하pv","한국nc","정책nc","문재인nc","박근혜nc","하pv","문재인nc","하pv","안철수nc","문재인nc","하pv","있pa","임명장nc","당선인nc","통진당nc","장병nc","학생nc","안철수nc","인천nc","제주도nc","문재인nc","여성nc","세종시nc","피해nc","북한nc","검찰nc","하pv","공천nc","박근혜nc"
"교육nc","의원nc","처리nc","대하pv","선거법nc","강원nc","박근혜nc","일본nc","공약nc","대통령nc","후보nc","있pa","후보nc","있pa","후보nc","후보nc","황우여nc","중소기업nc","위원장nc","이사장nc","민주당nc","지키pv","등록금nc","교수nc","목사nc","해군기지nc","민주당nc","박근혜nc","충남nc","정부nc","미사일nc","민주당nc","있pa","비대위nc","후보nc"
"학생nc","막말nc","본회의nc","생각nc","선거보조금nc","대선nc","후보nc","중국nc","정부nc","노무현nc","밝히pv","국민nc","노무현nc","국민nc","문재인nc","의혹nc","대표최고위원nc","경제nc","부위원장nc","소상공인nc","경선nc","희생nc","청년nc","논문nc","인천시민nc","제주nc","국가정보원nc","대통령nc","대전nc","경찰nc","발사nc","박지원nc","많pa","비상대책위원회nc","대통령nc"
"학교nc","김용민nc","법안nc","되pv","노동자nc","대구nc","상인nc","평화nc","정규직nc","북한nc","부산nc","없pa","대통령nc","새누리당nc","단일화nc","아들nc","자리nc","경제민주화nc","공동선대위원장nc","대통령nc","대표nc","대한민국nc","대학nc","서울대nc","이학재nc","광주nc","후보nc","여성대통령nc","새만금nc","대책nc","대한민국nc","원내대표nc","생각nc","비례대표nc","유세nc"
"선생님nc","발언nc","의원nc","오늘nc","갚pv","도민nc","경기nc","협력nc","문제nc","대화록nc","대통령nc","새누리당nc","민주당nc","위하pv","국민nc","부산nc","주요내용nc","위하pv","본부장nc","인수위nc","부정nc","연평도nc","대학생nc","표절nc","인천시당nc","농업nc","여직원nc","대한민국nc","충북nc","사건nc","탈북자nc","수사nc","같pa","의결nc","강조nc"
"감독nc","김광진nc","원내대표nc","부분nc","위반nc","여러분nc","비상대책위원장nc","독도nc","약속nc","정상회담nc","예정nc","대하pv","박근혜nc","대한민국nc","민주당nc","주식nc","의원nc","대기업nc","김무성nc","펀드nc","비례대표nc","국가nc","학교nc","대선nc","아리랑nc","건설nc","박근혜nc","가정nc","지역nc","범죄nc","인권nc","받pv","되pv","당명nc","민생nc"
"교사nc","이종걸nc","의원님nc","많pa","지급nc","당원동지nc","중앙선거대책위원장nc","관계nc","부담nc","발언nc","대변인nc","민주당nc","호남nc","후보nc","정치nc","다운계약서nc","오늘nc","새롭pa","김성주nc","당부nc","이정희nc","안보nc","취업nc","안랩nc","스님nc","호남nc","선관위nc","남성nc","사업nc","태풍nc","통진당nc","의혹nc","없pa","쇄신nc","밝히pv"
"울산nc","국회의원nc","예정nc","같pa","반대nc","강원도nc","시장nc","미국nc","복지nc","당시nc","방문nc","아니pa","정권nc","박근혜nc","새정치nc","당시nc","감사nc","국가nc","수여식nc","전달nc","교육감nc","위하pv","공부nc","무소속nc","교회nc","농촌nc","흑색선전nc","시대nc","발전nc","안전nc","국제사회nc","사건nc","좋pa","위원nc","호소nc"
"아이nc","트위터nc","여야nc","드리pv","혈세nc","경북nc","시민nc","정부nc","장애인nc","후보nc","브리핑nc","대해nc","김대중nc","약속nc","무소속nc","서민nc","새누리당nc","일자리nc","명단nc","인사nc","이석기nc","북한nc","인재nc","연장nc","문화nc","예산nc","선거nc","탄생nc","지원nc","발생nc","장거리nc","대표nc","박근혜nc","관련nc","약속nc"
"학부모nc","임수경nc","국회의원nc","좋pa","기록nc","경선nc","할머니nc","세계nc","어르신nc","주장nc","서면nc","않pa","인사nc","생각nc","정치쇄신nc","부산저축은행nc","대해nc","지원nc","위원nc","도시락nc","한명숙nc","마음nc","젊은이nc","투표율nc","등이nc","제주도민nc","사건nc","사회nc","충청nc","노력nc","중국nc","사찰nc","아니pa","후보자nc","만들pv"
"중학교nc","사진nc","상임위nc","필요nc","서울시nc","선거nc","서울nc","양국nc","위하pv","북방한계선nc","참석nc","문제nc","국민대통합nc","이번nc","중앙선거대책위원회nc","만원nc","말씀nc","성장nc","정몽준nc","김우동nc","국회nc","목숨nc","만들pv","재벌nc","아시안게임nc","농민nc","경찰nc","글로벌nc","당협위원장nc","성폭력nc","유엔nc","혐의nc","않pa","정강정책nc","중산층nc"
"학교폭력nc","어르신nc","대법관nc","부탁nc","노조nc","동지nc","방문nc","통일nc","근로자nc","천안함nc","자리nc","위하pv","세력nc","만들pv","사퇴nc","특혜nc","황천모nc","기업nc","맡pv","보좌관nc","모바일nc","국군nc","교육nc","조국nc","주지스님nc","당협위원장nc","주장nc","최초nc","홍문표nc","피해자nc","도발nc","비리nc","가pv","비상대책위원장nc","시민nc"
"야구nc","사과nc","합의nc","최고위원nc","불법대선자금nc","총선공약nc","금일nc","동북nc","서민nc","밝히pv","일정nc","되pv","친노nc","많pa","선거nc","법무법인nc","여러분nc","정부nc","뛰pv","선거비용nc","정당nc","전쟁nc","스펙nc","동포nc","인천시nc","사장nc","허위사실nc","리더십nc","건설nc","학교폭력nc","주민nc","의원nc","받pv","지역nc","지지nc"
"김성근nc","장군nc","예산nc","의견nc","시장nc","당선자nc","수석부대변인nc","총리nc","크pa","공개nc","오후nc","후보nc","서민nc","되pv","세력nc","아파트nc","전하pv","위기nc","선거대책위원회nc","실장nc","선거nc","유해nc","반값등록금nc","투표시간nc","추기경nc","농가nc","증거nc","일과nc","충남도당nc","아동nc","당국nc","특검nc","그렇pa","당의nc","이루pv"
"경기nc","찍pv","후보자nc","관련해서nc","먹튀방지법nc","승리nc","대해nc","역사nc","확대nc","청와대nc","찾pv","생각nc","갈등nc","나라nc","정책nc","제기nc","회장nc","우리나라nc","수석부위원장nc","진영nc","의원nc","전사자nc","기업nc","재외국민nc","윤상현nc","여수nc","유포nc","양립nc","특별법nc","성범죄nc","북한인권법nc","저축은행nc","이렇pa","황영철nc","오후nc"
"초등학교nc","나꼼수nc","개원nc","다음nc","민주노총nc","의원nc","전통시장nc","크pa","일자리nc","진실nc","위하pv","이번nc","부동산nc","지키pv","대선nc","받pv","대하pv","통하pv","발대식nc","동영상nc","연대nc","유가족nc","능력nc","임용nc","기도nc","연합회장nc","여성nc","행복nc","정운천nc","소방관nc","위협nc","민간인nc","되pa","새롭pa","대변인nc"
"올림픽nc","이해찬nc","야당nc","논의nc","비용nc","인사말씀nc","재래시장nc","신뢰nc","차별nc","의혹nc","강조nc","같pa","시절nc","같pa","협상nc","증여nc","수석부대변인nc","필요nc","한광옥nc","중소기업중앙회nc","당권파nc","천안함nc","일자리nc","참정권nc","예방nc","주영순nc","사실nc","출산nc","계획nc","여성nc","정부nc","공천nc","대해nc","인재nc","일정관련nc"
"구단nc","선생nc","정기국회nc","노력nc","당시nc","실천본부nc","황천모nc","한반도nc","경우nc","국가정보원nc","일정관련nc","밝히pv","박정희nc","정치nc","이정희nc","채용nc","다음nc","글로벌nc","당사nc","자원봉사자nc","사퇴nc","나라nc","열정nc","투표nc","목사님nc","농업인nc","캠프nc","변화nc","진행nc","보호nc","바라pv","이명박nc","어떻pa","기준nc","서면nc"
"스포츠nc","일본nc","박지원nc","이렇pa","쌍용차nc","강원도민nc","주요내용nc","외교nc","실현nc","연평도nc","대하pv","받pv","이명박nc","미래nc","진영nc","해명nc","인사말씀nc","사회nc","위원장님nc","예산안nc","공동대표nc","발굴nc","잠재력nc","의혹nc","유치nc","관광객nc","김씨nc","김지하nc","추진nc","사고nc","평화nc","노무현nc","후보nc","브리핑nc","해결nc"
"런던올림픽nc","저질nc","원내수석부대표nc","그리pv","매각nc","위원장nc","하자nc","안보nc","대책nc","안보nc","새누리당nc","지나pv","중산층nc","없pa","구태정치nc","자신nc","금일nc","정책nc","김상민nc","지회장nc","공천nc","잊pv","젊pa","현수막nc","상임대표nc","현경대nc","직원nc","지도자nc","충청권nc","안전한nc","체제nc","불법사찰nc","만들pv","지역구nc","수행부단장nc"
"런던nc","배재정nc","임명동의안nc","감사nc","행위nc","존경nc","인사nc","영토nc","도입nc","내용nc","약속nc","되pa","과거nc","대통령nc","권력nc","증여세nc","국회nc","중심nc","총괄본부장nc","당선nc","지도부nc","도발nc","인생nc","포스코nc","사무국nc","바다nc","어제nc","보육nc","주민nc","촉구nc","한반도nc","경선nc","말씀nc","비대위원nc","바꾸pv"
"감독님nc","변절자nc","체포동의안nc","황우여nc","국정감사nc","자리nc","전하pv","국제사회nc","개선nc","남북nc","의지nc","사실nc","실패nc","새롭pa","방식nc","저축은행nc","의원님nc","추진nc","중앙선대위nc","상황실장nc","받pv","이후nc","미래nc","재외동포nc","홍일표nc","삭감nc","의혹nc","세상nc","조성nc","다하pv","핵실험nc","밝히pv","어렵pa","비공개nc","브리핑nc"
"과정nc","노인nc","민생nc","어제nc","론스타nc","비상대책위원장nc","가게nc","러시아nc","예산nc","폐기nc","현장nc","그리pv","당시nc","않pa","여론조사nc","재산nc","대표nc","노력nc","선진통일당nc","주변nc","애국가nc","조국nc","해결nc","박사학위nc","송영길nc","수산업nc","대변인nc","김성주nc","개발nc","어린이nc","김정은nc","문건nc","갖pa","전국위원회nc","윤상현nc"
"감동nc","백선엽nc","인사청문회nc","다하pv","파업nc","후보자nc","구입nc","방문nc","가격nc","영토주권nc","통하pv","바라pv","미래nc","크pa","모습nc","논란nc","참석nc","높pa","혁신nc","여사nc","민주주의nc","포격nc","총학생회장nc","카이스트nc","이상권nc","강정마을nc","감금nc","가정의nc","청주nc","경찰의nc","나로호nc","조사nc","크pa","정강nc","자리nc"
"사교육nc","품격nc","쇄신nc","구성nc","서울시장nc","김문수nc","장사nc","호주nc","중산층nc","장관nc","이날nc","관련nc","분열nc","그리pv","야합nc","중앙선거대책위원회nc","최고위원nc","만들pv","청년본부장nc","후원금nc","선거인단nc","병사nc","원하pv","정세균nc","도시nc","태풍nc","수사nc","결혼nc","박성효nc","성범죄자nc","입장nc","불법nc","문제nc","논의nc","중앙선거대책위원회nc"
"고양원더스nc","이외수nc","김기현nc","적극적nc","개정안nc","이주영nc","아주머니nc","북한nc","재원nc","열람nc","중앙선거대책위원회nc","많pa","친노세력nc","선거nc","자신nc","전화nc","크pa","과학기술nc","위원회nc","투표율nc","당의nc","폭침nc","시스템nc","어머니nc","김영주nc","제주도당nc","네거티브nc","발휘nc","고향nc","주민nc","김영환씨nc","한명숙nc","나라nc","전략지역nc","시대교체nc"
"정갑윤nc","분노nc","제출nc","통해nc","보조금nc","뜨겁pa","주인nc","경제nc","만원nc","여야nc","오전nc","그렇pa","민주화nc","마음nc","캠프nc","작성nc","같pa","경쟁력nc","조직nc","대출nc","부정경선nc","바치pv","자신nc","위반nc","정진석nc","여수엑스포nc","밝히pv","사람nc","전라북도nc","폭력nc","미국nc","만원nc","노력nc","내용nc","흑색선전nc"
"선수단nc","최고위원nc","예산안nc","이야기nc","박원순nc","당원nc","상가nc","리더십nc","해결nc","서pv","격려nc","알pv","중앙선거대책위원회nc","아니pa","야권nc","부동산nc","이러하pa","창출nc","입당nc","단장nc","부정선거nc","주민nc","반값nc","사외이사nc","국제도시nc","재해보험nc","인권nc","능력nc","전주nc","생명nc","안보리nc","검찰수사nc","얘기nc","눈높이nc","세상nc"
"박대동nc","트윗nc","통과nc","회의nc","통과nc","출범식nc","자리nc","지도자nc","발표nc","포기nc","지역nc","보pv","실패한nc","노력nc","쇄신nc","가족nc","사무총장nc","구축nc","모시nc","당원증nc","세력nc","가슴nc","키우pv","계열사nc","장로nc","농사nc","댓글nc","메르켈nc","원안nc","경찰관nc","개입nc","구속nc","대하pv","가산점nc","대학등록금nc"
"보내pv","윤봉길nc","의원총회nc","경선nc","공식적nc","합동연설회nc","의원nc","동북아의nc","조원nc","회담nc","관련nc","입장nc","사과nc","이루pv","측이nc","회장nc","등이nc","복지nc","임명자nc","쪽방촌nc","김재연nc","참전nc","아르바이트nc","차세대nc","불교nc","확보nc","기자nc","시인nc","공사nc","당하pa","인권문제nc","공무원nc","대통령nc","당명개정nc","금일nc"
"기회nc","계정nc","시작nc","말씀드리pv","기술nc","대통령후보자nc","합동유세nc","기여nc","지원nc","포격nc","참석자nc","대통령nc","부활nc","실천nc","오늘nc","후보자nc","생각nc","세계nc","중앙선거대책본부nc","이춘상nc","불법nc","수호nc","학벌nc","등록nc","태고종nc","보험nc","컴퓨터nc","여군nc","새만금사업nc","성폭행nc","종북nc","금품nc","다음nc","공감nc","불구nc"
"공교육nc","정동영nc","감사nc","진행nc","먹튀nc","김수한nc","서민nc","일본에nc","걱정nc","확인nc","경제nc","얘기nc","참배nc","감사nc","양측nc","부인nc","황영철nc","방향nc","인사말씀nc","위로nc","책임nc","한기호nc","소질nc","저서nc","대변인nc","제주시nc","조사nc","빨pv","청주시nc","화재nc","계획nc","청와대nc","부분nc","심사nc","등이nc"
"김기현nc","지내pv","안건nc","번째nc","국고보조금nc","중앙당nc","대변인nc","역사적nc","증가nc","안보관nc","지나pv","주장nc","과거사nc","오늘nc","후보사퇴협상nc","세금탈루nc","존경nc","발전nc","선거대책위원장nc","새정부nc","국민nc","근무nc","창업nc","서울대학교nc","염원nc","한우nc","불법nc","아빠nc","활성화nc","관리nc","개발nc","방탄국회nc","주요내용nc","공모nc","시대nc"
"고등학교nc","폭언nc","국회법nc","최선nc","정치자금법nc","울산nc","힘들pv","번영nc","세금nc","폭침nc","나누pv","모습nc","반성nc","민생nc","행태nc","청년nc","바라pv","확대nc","특보단장nc","메시지nc","곽노현nc","보고nc","발휘nc","석사학위nc","종로구nc","세계적nc","중앙선거대책위원회nc","육아nc","윤진식nc","전국nc","시험nc","이해찬nc","우리나라nc","경쟁력nc","챙기pv"
"울산시민nc","탈북자nc","여당nc","정부nc","위반한nc","성원nc","잘못된nc","아시nc","사회nc","김정nc","시민nc","가pv","기억nc","믿pv","구태nc","이산가족nc","비서실장nc","활성화nc","대통령선거대책위원회nc","놓이pv","투표nc","준장nc","부담nc","재개발nc","안덕수nc","도약nc","드러나pv","다양한nc","충북도당nc","원전nc","대북nc","변호사nc","자리nc","당원협의회nc","책임nc"
"학생인권조례nc","욕설nc","국정감사nc","당의nc","대선자금nc","중앙위nc","차량유세nc","축하nc","방안nc","한미nc","인사nc","크pa","시대nc","가pv","늘pv","보도nc","중심nc","강화nc","청년위원장nc","유통산업발전법nc","경기동부연합nc","유족nc","뽑pv","행사nc","부처님nc","목포nc","사무실nc","총리nc","이전nc","보상nc","핵무기nc","행위nc","오pv","김종인nc","새정치nc"
"프로야구nc","노원갑nc","간사nc","관심nc","최종nc","정책위의장nc","물pv","국제적nc","적용nc","지시nc","서울nc","어떻pa","동서화합nc","다음nc","측은nc","탈세nc","대표님nc","분야nc","다르pa","작가nc","이해찬nc","자랑nc","낮추pv","대하여nc","녹색기후기금nc","공사nc","근거nc","살pv","정우택nc","사회nc","생명nc","유출nc","필요nc","선정nc","민주당nc"
"금메달nc","비하nc","의총nc","당원nc","노동계nc","정권nc","박수nc","남북nc","제공nc","국정조사nc","만남nc","만들pv","통합nc","어렵pa","내놓pv","수임료nc","서병수nc","경우nc","임명nc","이기pv","저지르pv","보훈nc","소프트웨어nc","전세살nc","인천광역시nc","건의nc","검찰nc","운동화nc","대전시민nc","시스템nc","요청nc","보도nc","감사nc","위원장nc","정부nc"
