"","x"
"1","후보nc"
"2","민주당nc"
"3","새누리당nc"
"4","박근혜nc"
"5","국민nc"
"6","대통령nc"
"7","이nc"
"8","문재인nc"
"9","이명박nc"
"10","문제nc"
"11","대해nc"
"12","의원nc"
"13","국회nc"
"14","검찰nc"
"15","정부nc"
"16","생각nc"
"17","오늘nc"
"18","국민들nc"
"19","말nc"
"20","이번nc"
"21","대표nc"
"22","정권nc"
"23","정치nc"
"24","일nc"
"25","위원장nc"
"26","때nc"
"27","수사nc"
"28","대변인실nc"
"29","관련nc"
"30","앞nc"
"31","사건nc"
"32","정책nc"
"33","요구nc"
"34","말씀nc"
"35","책임nc"
"36","대한민국nc"
"37","어제nc"
"38","장소nc"
"39","일시nc"
"40","선거nc"
"41","경제민주화nc"
"42","대변인nc"
"43","대선nc"
"44","정권교체nc"
"45","사실nc"
"46","청와대nc"
"47","의혹nc"
"48","촉구nc"
"49","이상nc"
"50","일자리nc"
"51","라nc"
"52","주장nc"
"53","노력nc"
"54","오후nc"
"55","를nc"
"56","총선nc"
"57","경우nc"
"58","드nc"
"59","지원nc"
"60","오전nc"
"61","약속nc"
"62","원내대표nc"
"63","사장nc"
"64","입장nc"
"65","당nc"
"66","상황nc"
"67","내용nc"
"68","시작nc"
"69","분nc"
"70","발언nc"
"71","힘nc"
"72","경제nc"
"73","의nc"
"74","자리nc"
"75","결과nc"
"76","발표nc"
"77","언론nc"
"78","안철수nc"
"79","필요nc"
"80","한나라당nc"
"81","확인nc"
"82","나라nc"
"83","을nc"
"84","투표nc"
"85","시대nc"
"86","보도nc"
"87","지역nc"
"88","공약nc"
"89","동안nc"
"90","사과nc"
"91","국가nc"
"92","추진nc"
"93","예정nc"
"94","보고nc"
"95","사회nc"
"96","자신nc"
"97","진행nc"
"98","당시nc"
"99","얘기nc"
"100","이유nc"
"101","김재철nc"
"102","이후nc"
"103","통해nc"
"104","해결nc"
"105","정규직nc"
"106","발전nc"
"107","단일화nc"
"108","정도nc"
"109","태도nc"
"110","박지원nc"
"111","국회의원nc"
"112","참여nc"
"113","비리nc"
"114","이야기nc"
"115","논의nc"
"116","문재인캠프nc"
"117","민주주의nc"
"118","확대nc"
"119","민생nc"
"120","부산nc"
"121","강조nc"
"122","직능특위nc"
"123","브리핑nc"
"124","북한nc"
"125","며nc"
"126","복지nc"
"127","과정nc"
"128","희망nc"
"129","비대위원장nc"
"130","평화nc"
"131","결정nc"
"132","그동안nc"
"133","미래nc"
"134","연장nc"
"135","모습nc"
"136","국민들이nc"
"137","합의nc"
"138","야당nc"
"139","사업nc"
"140","번째nc"
"141","서민nc"
"142","변화nc"
"143","정당nc"
"144","캠프nc"
"145","과거nc"
"146","정치적nc"
"147","최고위원nc"
"148","경선nc"
"149","승리nc"
"150","기대nc"
"151","제안nc"
"152","중심nc"
"153","부분nc"
"154","조사nc"
"155","불구nc"
"156","마음nc"
"157","후보자nc"
"158","심판nc"
"159","반값등록금nc"
"160","법안nc"
"161","우리나라nc"
"162","반대nc"
"163","예산nc"
"164","특검nc"
"165","중소기업nc"
"166","역사nc"
"167","로nc"
"168","선관위nc"
"169","감사nc"
"170","관련해서nc"
"171","정수장학회nc"
"172","중요한nc"
"173","세상nc"
"174","일본nc"
"175","부대변인nc"
"176","처리nc"
"177","만원nc"
"178","투표시간nc"
"179","노무현nc"
"180","대책nc"
"181","토론nc"
"182","인사nc"
"183","의지nc"
"184","재벌nc"
"185","권력nc"
"186","방안nc"
"187","사퇴nc"
"188","역할nc"
"189","중단nc"
"190","비판nc"
"191","실현nc"
"192","통과nc"
"193","구성nc"
"194","정론관nc"
"195","방문nc"
"196","참여정부nc"
"197","지지nc"
"198","장관nc"
"199","한명숙nc"
"200","강화nc"
