"","x"
"1","후보nc"
"2","박근혜nc"
"3","민주당nc"
"4","국민nc"
"5","새누리당nc"
"6","생각nc"
"7","문재인nc"
"8","대통령nc"
"9","대해nc"
"10","이nc"
"11","당nc"
"12","문제nc"
"13","안철수nc"
"14","대한민국nc"
"15","오늘nc"
"16","라nc"
"17","이번nc"
"18","일nc"
"19","국회nc"
"20","말씀nc"
"21","앞nc"
"22","국민들nc"
"23","때nc"
"24","의원nc"
"25","약속nc"
"26","선거nc"
"27","자리nc"
"28","정치nc"
"29","말nc"
"30","노력nc"
"31","대변인nc"
"32","북한nc"
"33","드nc"
"34","대선nc"
"35","여러분들nc"
"36","나라nc"
"37","정부nc"
"38","대표nc"
"39","관련nc"
"40","부분nc"
"41","사실nc"
"42","감사nc"
"43","다음nc"
"44","분nc"
"45","노무현nc"
"46","정책nc"
"47","제nc"
"48","주요내용nc"
"49","얘기nc"
"50","변nc"
"51","주장nc"
"52","누nc"
"53","중앙선거대책위원회nc"
"54","모습nc"
"55","마음nc"
"56","힘nc"
"57","국가nc"
"58","여성nc"
"59","지역nc"
"60","미래nc"
"61","상황nc"
"62","입장nc"
"63","필요nc"
"64","단일화nc"
"65","그동안nc"
"66","총선nc"
"67","우리나라nc"
"68","대변인실nc"
"69","정당nc"
"70","어제nc"
"71","경우nc"
"72","황우여nc"
"73","이상nc"
"74","이야기nc"
"75","당시nc"
"76","민생nc"
"77","중요한nc"
"78","내용nc"
"79","발전nc"
"80","책임nc"
"81","지원nc"
"82","를nc"
"83","통진당nc"
"84","사회nc"
"85","을nc"
"86","경선nc"
"87","브리핑nc"
"88","위원장nc"
"89","대표최고위원nc"
"90","수석부대변인nc"
"91","며nc"
"92","정도nc"
"93","최선nc"
"94","보고nc"
"95","의혹nc"
"96","금일nc"
"97","공약nc"
"98","사건nc"
"99","방문nc"
"100","원내대표nc"
"101","야당nc"
"102","경제nc"
"103","저희들nc"
"104","과정nc"
"105","발언nc"
"106","검찰nc"
"107","관심nc"
"108","국민들이nc"
"109","자신nc"
"110","강조nc"
"111","실천nc"
"112","뜻nc"
"113","걱정nc"
"114","말씀드nc"
"115","시작nc"
"116","기대nc"
"117","결과nc"
"118","중심nc"
"119","지지nc"
"120","준비nc"
"121","꿈nc"
"122","실nc"
"123","희망nc"
"124","동안nc"
"125","서울nc"
"126","번째nc"
"127","삶nc"
"128","정권nc"
"129","신뢰nc"
"130","예정nc"
"131","인사nc"
"132","해결nc"
"133","위기nc"
"134","이후nc"
"135","의nc"
"136","현장nc"
"137","국회의원nc"
"138","변화nc"
"139","역할nc"
"140","부산nc"
"141","이유nc"
"142","통해nc"
"143","언론nc"
"144","요구nc"
"145","확인nc"
"146","진행nc"
"147","세계nc"
"148","시대nc"
"149","참석nc"
"150","과거nc"
"151","비상대책위원장nc"
"152","추진nc"
"153","안nc"
"154","조윤nc"
"155","기회nc"
"156","어려움nc"
"157","나nc"
"158","쇄신nc"
"159","결정nc"
"160","최고위원nc"
"161","국가정보원nc"
"162","당의nc"
"163","등이nc"
"164","의지nc"
"165","중요nc"
"166","발표nc"
"167","논의nc"
"168","뒤nc"
"169","모두nc"
"170","의미nc"
"171","황천모nc"
"172","예산nc"
"173","상nc"
"174","정치적nc"
"175","행복nc"
"176","지적nc"
"177","일자리nc"
"178","갈등nc"
"179","한국nc"
"180","저nc"
"181","관련해서nc"
"182","후보자nc"
"183","세력nc"
"184","의견nc"
"185","위해nc"
"186","촉구nc"
"187","불구nc"
"188","이것이nc"
"189","공천nc"
"190","보도nc"
"191","수가nc"
"192","활동nc"
"193","사과nc"
"194","적극적nc"
"195","측nc"
"196","하자nc"
"197","승리nc"
"198","처리nc"
"199","현안관련nc"
"200","부탁드nc"
