"","x"
"1","있pa"
"2","없pa"
"3","많pa"
"4","아니pa"
"5","같pa"
"6","않pa"
"7","크pa"
"8","좋pa"
"9","되pa"
"10","그렇pa"
"11","이렇pa"
"12","어떻pa"
"13","새롭pa"
"14","갖pa"
"15","어렵pa"
"16","못하pa"
"17","싶pa"
"18","이러하pa"
"19","쓰pa"
"20","높pa"
"21","다르pa"
"22","깊pa"
"23","젊pa"
"24","뜨pa"
"25","반갑pa"
"26","안타깝pa"
"27","인하pa"
"28","바쁘pa"
"29","뜨겁pa"
"30","고맙pa"
"31","쉽pa"
"32","달pa"
"33","늦pa"
"34","그러하pa"
"35","당하pa"
"36","안되pa"
"37","아프pa"
"38","어떠하pa"
"39","작pa"
"40","수많pa"
"41","강하pa"
"42","기쁘pa"
"43","이르pa"
"44","옳pa"
"45","멀pa"
"46","빠르pa"
"47","가깝pa"
"48","나쁘pa"
"49","바르pa"
"50","바람직하pa"
"51","부끄럽pa"
"52","낡pa"
"53","밝pa"
"54","짧pa"
"55","두렵pa"
"56","올바르pa"
"57","어리pa"
"58","급하pa"
"59","똑같pa"
"60","춥pa"
"61","터무니없pa"
"62","무겁pa"
"63","놀랍pa"
"64","계시pa"
"65","아쉽pa"
"66","무섭pa"
"67","귀하pa"
"68","더하pa"
"69","다름없pa"
"70","생생하pa"
"71","편하pa"
"72","무르pa"
"73","기하pa"
"74","굳pa"
"75","괜찮pa"
"76","뒤늦pa"
"77","가하pa"
"78","정하pa"
"79","가볍pa"
"80","거칠pa"
"81","맛있pa"
"82","즐겁pa"
"83","약하pa"
"84","심하pa"
"85","멋지pa"
"86","꼼꼼하pa"
"87","비싸pa"
"88","적pa"
"89","넓pa"
"90","쌀쌀하pa"
"91","엄청나pa"
"92","예쁘pa"
"93","헛되pa"
"94","그르pa"
"95","낮pa"
"96","못지않pa"
"97","커다랗pa"
"98","흐리pa"
"99","딱하pa"
"100","싫pa"
"101","아름답pa"
"102","우습pa"
"103","걸맞pa"
"104","듯하pa"
"105","어이없pa"
"106","속하pa"
"107","들어있pa"
"108","오래pa"
"109","낫pa"
"110","눈부시pa"
"111","끊임없pa"
"112","남다르pa"
"113","덥pa"
"114","따갑pa"
"115","맑pa"
"116","험하pa"
"117","차갑pa"
"118","틀림없pa"
"119","그지없pa"
"120","힘차pa"
"121","멋있pa"
"122","살아있pa"
"123","어설프pa"
"124","오락가락하pa"
"125","슬프pa"
"126","어쩌pa"
"127","조그마하pa"
"128","줄기차pa"
"129","꿋꿋하pa"
"130","반하pa"
"131","쓸데없pa"
"132","부드럽pa"
"133","어둡pa"
"134","어리석pa"
"135","유례없pa"
"136","잘pa"
"137","좁pa"
"138","똑똑하pa"
"139","밤늦pa"
"140","싸pa"
"141","아낌없pa"
"142","폭넓pa"
"143","날카롭pa"
"144","못되pa"
"145","벅차pa"
"146","뻔하pa"
"147","차pa"
"148","그만이pa"
"149","동떨어지pa"
"150","숱하pa"
"151","이쁘pa"
"152","값지pa"
"153","곱pa"
"154","노리pa"
"155","능하pa"
"156","두텁pa"
"157","드물pa"
"158","빨갛pa"
"159","뼈아프pa"
"160","짙pa"
"161","촘촘하pa"
"162","통크pa"
"163","고달프pa"
"164","괴롭pa"
"165","까맣pa"
"166","너무하pa"
"167","더럽pa"
"168","별다르pa"
"169","부러워하pa"
"170","부럽pa"
"171","잘나pa"
"172","점잖pa"
"173","점하pa"
"174","가슴깊pa"
"175","그립pa"
"176","기막히pa"
"177","길pa"
"178","까다롭pa"
"179","누르pa"
"180","두껍pa"
"181","뛰어나pa"
"182","맛나pa"
"183","밉pa"
"184","비뚤pa"
"185","뼈저리pa"
"186","서글프pa"
"187","아깝pa"
"188","엄하pa"
"189","잦pa"
"190","착하pa"
"191","거세pa"
"192","까지pa"
"193","끝없pa"
"194","뜬금없pa"
"195","맵pa"
"196","못나pa"
"197","무덥pa"
"198","뭐하pa"
"199","사납pa"
"200","어지럽pa"
